sscore,avg(pos),avg(neg)
2214,0.32516339869281047,0.8660130718954249
7225,0.43137254901960786,0.7843137254901961
29,0.4848351648351648,0.9054945054945055
26,0.4568173465637633,0.9070194781330393
37884,0.36942675159235666,0.8375796178343949
2927,0.33695652173913043,0.8804347826086957
5385,0.3230769230769231,0.9076923076923077
15432,0.32592592592592595,0.9037037037037037
4894,0.4224137931034483,0.9137931034482759
2509,0.5,0.8620689655172413
13723,0.44808743169398907,0.9180327868852459
12568,0.38095238095238093,0.9464285714285714
1950,0.4391891891891892,0.8918918918918919
2040,0.3803680981595092,0.8650306748466258
1806,0.4235294117647059,0.9529411764705882
3764,0.2222222222222222,0.8666666666666667
964,0.36470588235294116,0.9058823529411765
15194,0.3793103448275862,0.8448275862068966
36103,0.45,0.8923076923076924
1697,0.3717948717948718,0.9487179487179487
17043,0.3103448275862069,0.9741379310344828
18348,0.345679012345679,0.8765432098765432
27919,0.42946708463949845,0.9059561128526645
6721,0.31666666666666665,0.9333333333333333
14719,0.4864864864864865,0.8108108108108109
9978,0.2923076923076923,0.9846153846153847
474,0.34563758389261745,0.9093959731543624
9968,0.3814814814814815,0.8629629629629629
13638,0.3351063829787234,0.8031914893617021
47492,0.22012578616352202,0.9433962264150944
3506,0.19444444444444445,0.9444444444444444
38287,0.4607329842931937,0.8115183246073299
5556,0.3181818181818182,0.9545454545454546
3091,0.40425531914893614,0.8936170212765957
14117,0.41304347826086957,0.7391304347826086
8440,0.39072847682119205,0.9205298013245033
4823,0.30158730158730157,0.8650793650793651
9233,0.20689655172413793,0.896551724137931
2529,0.3684210526315789,0.9649122807017544
8075,0.3333333333333333,0.9111111111111111
11567,0.3958333333333333,0.8958333333333334
1677,0.48148148148148145,0.8888888888888888
2250,0.3888888888888889,0.8611111111111112
2453,0.42592592592592593,0.8518518518518519
5409,0.23076923076923078,0.9230769230769231
7279,0.32142857142857145,0.6785714285714286
11434,0.25,1.0
11190,0.20833333333333334,0.9583333333333334
4590,0.3333333333333333,0.7777777777777778
38114,0.37575757575757573,0.9575757575757575
65,0.4502664298401421,0.9262877442273535
11860,0.3793103448275862,0.9310344827586207
10237,0.43577981651376146,0.8738532110091743
418,0.39473684210526316,0.8947368421052632
16441,0.3515625,0.90625
59100,0.41228070175438597,0.8421052631578947
4371,0.359375,0.9453125
49564,0.375,0.8070175438596491
191,0.4117647058823529,0.9166666666666666
558,0.42574257425742573,0.8935643564356436
1258,0.37142857142857144,0.9047619047619048
2941,0.4444444444444444,0.8518518518518519
3015,0.3620689655172414,0.896551724137931
1010,0.3986013986013986,0.9020979020979021
29913,0.34527687296416937,0.9087947882736156
541,0.4417808219178082,0.8904109589041096
3280,0.3058252427184466,0.9563106796116505
29695,0.37681159420289856,0.9166666666666666
5759,0.3333333333333333,0.9076923076923077
13206,0.4297872340425532,0.8468085106382979
6424,0.34911242603550297,0.8698224852071006
23146,0.4161490683229814,0.8695652173913043
32659,0.43448275862068964,0.9241379310344827
3806,0.3684210526315789,0.9157894736842105
8305,0.30927835051546393,0.9278350515463918
34131,0.381294964028777,0.8848920863309353
25055,0.32122905027932963,0.9022346368715084
3800,0.3841059602649007,0.7947019867549668
1277,0.32978723404255317,0.9148936170212766
10889,0.4473684210526316,0.868421052631579
7130,0.28451882845188287,0.8828451882845189
5241,0.33714285714285713,0.8228571428571428
2173,0.32967032967032966,0.9010989010989011
1840,0.3516483516483517,0.9120879120879121
19865,0.34615384615384615,0.9423076923076923
1360,0.42777777777777776,0.9277777777777778
3061,0.40707964601769914,0.9292035398230089
2906,0.368,0.752
3009,0.37142857142857144,0.9238095238095239
5418,0.39097744360902253,0.924812030075188
9444,0.39568345323741005,0.8848920863309353
3106,0.35344827586206895,0.9224137931034483
8209,0.4424778761061947,0.8672566371681416
3391,0.4,0.9157894736842105
1224,0.3584905660377358,0.8962264150943396
12936,0.4268292682926829,0.9024390243902439
2812,0.37168141592920356,0.8849557522123894
2895,0.416,0.952
15221,0.46153846153846156,0.8653846153846154
4126,0.3958333333333333,0.875
25244,0.41843971631205673,0.9078014184397163
3199,0.37037037037037035,0.9629629629629629
22102,0.30833333333333335,0.975
6892,0.2857142857142857,0.8571428571428571
8092,0.59375,0.9375
5934,0.4,0.9
2517,0.41818181818181815,0.9
14242,0.4084507042253521,0.8929577464788733
9712,0.4166666666666667,0.9375
270,0.37003058103975534,0.8960244648318043
2184,0.38764044943820225,0.9213483146067416
2570,0.39344262295081966,0.8524590163934426
26541,0.40923076923076923,0.9384615384615385
38570,0.3826086956521739,0.9594202898550724
23654,0.43729903536977494,0.909967845659164
43572,0.355,0.87
21138,0.3217821782178218,0.8267326732673267
29366,0.42812006319115326,0.8625592417061612
7583,0.3160919540229885,0.9195402298850575
293,0.4492753623188406,0.9021739130434783
36595,0.46683673469387754,0.8724489795918368
47229,0.43544303797468353,0.9164556962025316
46099,0.3452830188679245,0.9169811320754717
7635,0.425,0.9
35243,0.3837837837837838,0.9459459459459459
3704,0.45544554455445546,0.8811881188118812
16100,0.425,0.8916666666666667
10627,0.4307692307692308,0.9384615384615385
6675,0.3333333333333333,0.956989247311828
6156,0.391304347826087,1.0
2989,0.2537313432835821,0.8656716417910447
222,0.37941176470588234,0.9235294117647059
6489,0.4214876033057851,0.8760330578512396
15133,0.4413265306122449,0.8724489795918368
9691,0.4634146341463415,0.9146341463414634
2909,0.29310344827586204,0.9655172413793104
34383,0.3584070796460177,0.8716814159292036
1127,0.32,0.84
1551,0.366412213740458,0.8396946564885496
1642,0.3442622950819672,0.9262295081967213
21121,0.33047210300429186,0.8841201716738197
5079,0.21875,0.9375
4551,0.38235294117647056,0.9
1409,0.3516483516483517,0.9230769230769231
5148,0.2982456140350877,0.8947368421052632
2994,0.48484848484848486,0.8484848484848485
5617,0.5294117647058824,0.9215686274509803
21832,0.35294117647058826,0.8496732026143791
56131,0.3560606060606061,0.9393939393939394
1371,0.2978723404255319,0.8936170212765957
3155,0.38666666666666666,0.96
20064,0.43,0.91
45268,0.340080971659919,0.9595141700404858
1145,0.36764705882352944,0.8676470588235294
14067,0.37209302325581395,0.8837209302325582
730,0.3111111111111111,0.85
3327,0.47368421052631576,0.9122807017543859
21653,0.37398373983739835,0.8780487804878049
938,0.31896551724137934,0.8879310344827587
15197,0.35714285714285715,0.875
3741,0.34,0.94
2581,0.38235294117647056,0.9264705882352942
13659,0.425,0.95
7679,0.39285714285714285,0.8214285714285714
3937,0.5,0.9
3845,0.1111111111111111,0.7777777777777778
3120,0.33507853403141363,0.8586387434554974
37905,0.4098360655737705,0.9453551912568307
48995,0.46842105263157896,0.9105263157894737
26351,0.34146341463414637,0.9233449477351916
1532,0.43333333333333335,0.8904761904761904
26797,0.3861003861003861,0.8455598455598455
1202,0.38702928870292885,0.8744769874476988
2520,0.3526315789473684,0.8578947368421053
6230,0.375,0.9270833333333334
2944,0.3818770226537217,0.8673139158576052
25566,0.4368421052631579,0.8447368421052631
21789,0.3233082706766917,0.8571428571428571
7146,0.4,1.0
5572,0.41420118343195267,0.8461538461538461
2030,0.34782608695652173,0.9130434782608695
48110,0.3717948717948718,0.9358974358974359
1690,0.38461538461538464,0.9423076923076923
73315,0.3602941176470588,0.8014705882352942
10205,0.359375,0.84375
50364,0.3821656050955414,0.8832271762208068
2797,0.3026315789473684,0.8289473684210527
14181,0.3424657534246575,0.821917808219178
3847,0.38596491228070173,0.8947368421052632
3452,0.27388535031847133,0.8789808917197452
10433,0.3493975903614458,0.9036144578313253
278,0.4007220216606498,0.8916967509025271
4509,0.29411764705882354,0.9411764705882353
6879,0.2222222222222222,0.8253968253968254
6911,0.3888888888888889,0.9166666666666666
3034,0.3786407766990291,0.8737864077669902
705,0.3956043956043956,0.9230769230769231
1919,0.3879310344827586,0.8879310344827587
1175,0.4339622641509434,0.8490566037735849
44811,0.39325842696629215,0.8932584269662921
367,0.4104938271604938,0.8858024691358025
27911,0.3696969696969697,0.9515151515151515
442,0.4475,0.9025
8509,0.3787878787878788,0.9545454545454546
243,0.4264705882352941,0.861764705882353
1936,0.36666666666666664,0.9
4072,0.2328767123287671,0.8904109589041096
33236,0.35714285714285715,0.9285714285714286
7543,0.44086021505376344,0.8279569892473119
720,0.4108527131782946,0.9302325581395349
10923,0.2631578947368421,0.8026315789473685
16158,0.33689839572192515,0.8983957219251337
21764,0.45652173913043476,0.9347826086956522
4191,0.2619047619047619,0.7857142857142857
6287,0.3225806451612903,0.967741935483871
1463,0.44,0.915
10913,0.4473684210526316,0.8947368421052632
7626,0.43103448275862066,0.9137931034482759
2371,0.38596491228070173,0.8245614035087719
4519,0.3805309734513274,0.9380530973451328
32895,0.34532374100719426,0.8920863309352518
7303,0.3150684931506849,0.8904109589041096
3866,0.7,1.0
9686,0.3125,0.8125
9775,0.3541666666666667,0.8333333333333334
6129,0.5789473684210527,0.9473684210526315
8611,0.34523809523809523,0.9047619047619048
6885,0.36752136752136755,0.8717948717948718
5850,0.5,0.875
2598,0.35,0.95
9242,0.3333333333333333,0.8809523809523809
4929,0.3409090909090909,0.9545454545454546
19565,0.4232081911262799,0.9180887372013652
19,0.48561872909698994,0.9113712374581939
296,0.3567251461988304,0.9181286549707602
54,0.45472972972972975,0.9054054054054054
926,0.2972972972972973,0.9027027027027027
42367,0.4036697247706422,0.9541284403669725
43601,0.41517857142857145,0.9419642857142857
7233,0.40229885057471265,0.8850574712643678
47737,0.31666666666666665,0.8666666666666667
21690,0.3291139240506329,0.9367088607594937
2551,0.34108527131782945,0.8682170542635659
40622,0.4,0.895
37758,0.4291044776119403,0.9701492537313433
6407,0.36046511627906974,0.9341085271317829
1671,0.3687150837988827,0.888268156424581
33871,0.4722222222222222,0.9166666666666666
6700,0.30869565217391304,0.8347826086956521
9332,0.46938775510204084,0.8367346938775511
6264,0.3525641025641026,0.9038461538461539
44722,0.3743218806509946,0.7775768535262206
1951,0.3584905660377358,0.9622641509433962
3051,0.3142857142857143,0.8666666666666667
26231,0.3353846153846154,0.8553846153846154
7077,0.38016528925619836,0.9338842975206612
1447,0.3710691823899371,0.8616352201257862
1217,0.3351063829787234,0.9095744680851063
10151,0.4583333333333333,0.9305555555555556
26183,0.4340425531914894,0.7531914893617021
4552,0.3708609271523179,0.9006622516556292
10176,0.40384615384615385,0.9038461538461539
34443,0.3728813559322034,0.9745762711864406
1537,0.42528735632183906,0.8735632183908046
21577,0.4316546762589928,0.9136690647482014
30030,0.42134831460674155,0.9269662921348315
2857,0.36607142857142855,0.8392857142857143
12390,0.3333333333333333,0.8888888888888888
3069,0.32,0.8266666666666667
3081,0.4883720930232558,0.8837209302325582
6693,0.34285714285714286,0.9428571428571428
6162,0.2222222222222222,0.9555555555555556
1782,0.37593984962406013,0.9172932330827067
1280,0.33136094674556216,0.8698224852071006
15374,0.4,0.78
6189,0.2777777777777778,0.6666666666666666
